name,citation,google_scholar,personal_page,twitter,linkedin,image,famous_work,honor,institution,position
Geoffrey Hinton,833235,JicYPdAAAAAJ,https://www.cs.toronto.edu/~hinton/,geoffreyhinton,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT694rsiJ72yoxYaMdcpN_gVSQwwiz0xG9Vt4bxg8281pC6xeJHOkgwFhtfWvaiGGkco4ttwZnuh1bU8NXPpo14RQ,"Boltzmann machines, 1985",Nobel Prize; Turing Award,University of Toronto; https://fundit.fr/sites/default/files/styles/max_650x650/public/actors/2527-universite-toronto.png?itok=mPR77h6x,Emeritus Professor
Yoshua Bengio,821134,kukA0LcAAAAJ,https://yoshuabengio.org/,Yoshua_Bengio,https://ca.linkedin.com/in/yoshuabengio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTckPK8_ryySxo8VKj-BYOameFF4b0mGD2OjA&s,Generative Adversarial Net 2014,Turing Award,University of Montreal; https://www.universityrankings.ch/var/myscienceca/image/logo/umontreal.svg,Professor 
Kaiming He,594195,DhtAFkwAAAAJ,https://people.csail.mit.edu/kaiming/,,https://www.linkedin.com/in/kaiming-he-90664838,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DhtAFkwAAAAJ&citpid=8,Resnet 2016,CVPR/ICCV Best Paper,MIT; https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/MIT_logo.svg/2560px-MIT_logo.svg.png,Associate Professor
Ilya Sutskever,614450,x04W_mMAAAAJ,https://www.cs.utoronto.ca/~ilya/,ilyasut,https://www.linkedin.com/in/ilya-sutskever,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=x04W_mMAAAAJ&citpid=12,AlexNet 2012,Time's 100 most influential people in AI,Safe Superintelligence; https://ssi.inc/public/og-preview.jpg,Co-Founder
Jian Sun,621808,ALVSZAYAAAAJ,https://www.jiansun.org/,,https://cn.linkedin.com/in/jian-sun-264252111,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ALVSZAYAAAAJ&citpid=6,Resnet 2016,,Megvii; https://upload.wikimedia.org/wikipedia/commons/0/04/Megvii_logo.png,Chief Scientist
Robert Tibshirani,501486,ZpG_cJwAAAAJ,https://tibshirani.su.domains/index.html,robtibshirani,,https://statistics.stanford.edu/sites/statistics/files/styles/hs_medium_square_360x360/public/media/people/tibshirani_new.jpg?h=dc1a5897&itok=G95tWrMG,Lasso Regression 1996,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Professor 
Ross Girshick,561048,W8VIEZgAAAAJ,https://www.rossgirshick.info/,inkynumbers,https://www.linkedin.com/in/ross-girshick-81326084,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcwNh1fCSqG0rHHxiShtwK1ihvcuStT8_M6w&s,Faster R-CNN 2015,,Vercept; https://vercept.com/Vercept_logo_black.svg,Co-Founder
Andrew Zisserman,460192,UZ5wscMAAAAJ,https://www.robots.ox.ac.uk/~az/,,https://www.linkedin.com/in/andrew-brown-6b4193115,https://apidyn.royalsociety.org/images/fellows/P36328-Andrew-Zisserman.jpg,VGGNet 2014,,University of Oxford; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/University_of_Oxford.svg/2560px-University_of_Oxford.svg.png,Professor 
Shaoqing Ren,414028,AUhj438AAAAJ,https://shaoqingren.com/,RenShaoqing,https://cn.linkedin.com/in/shaoqing-ren-61853260,https://media.licdn.com/dms/image/v2/D5603AQFJ2o9uExM8jw/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1696235064589?e=2147483647&v=beta&t=xD3v5VDmSruVWppW-aBZLbI5BJHkYwUiOxqqFflpgM4,Resnet 2016,,NIO; https://www.logobiaozhi.com/upLoad/image/20240117/17054781597160551.jpg,Vice President
Trevor Hastie,395107,tQVe-fAAAAAJ,https://hastie.su.domains/,hastietrevor,https://www.linkedin.com/in/trevor-hastie-a6a4735,https://statistics.stanford.edu/sites/statistics/files/styles/hs_medium_square_360x360/public/media/people/hastie_new.jpg?h=07d0026a&itok=6KSgB3EY,The Elements of Statistical Learning 2009,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Professor
Yann LeCun,400662,WLN3QrAAAAAJ,http://yann.lecun.com/,ylecun,https://www.linkedin.com/in/yann-lecun,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=WLN3QrAAAAAJ&citpid=2,Gradient-based learning applied to document recognition 1998,Turing Award,Meta; https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Meta-Logo.png/2560px-Meta-Logo.png,Chief AI Scientist
Xiangyu Zhang,364503,yuB-cfoAAAAJ,,,https://www.linkedin.com/in/xiangyu-zhang-24a148160/,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=yuB-cfoAAAAJ&citpid=4,Resnet 2016,,StepFun; https://www.stepfun.com/assets/logo-white-Bx9HGfJf.svg,Co-Founder
Vladimir Vapnik,323252,vtegaJgAAAAJ,,,https://www.linkedin.com/in/vladimir-vapnik-5956a624,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=vtegaJgAAAAJ&citpid=2,SVM 1995,,Columbia University; https://visualidentity.columbia.edu/sites/default/files/styles/cu_crop/public/private/2023-logo-white-rgb.jpg?itok=CahTu6Eh,Professor 
Ian Goodfellow,327150,iYN86KEAAAAJ,https://www.iangoodfellow.com/,goodfellow_ian,https://www.linkedin.com/in/ian-goodfellow-b7187213,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU27asjcoMNOa87t7UHD8l0wRi1jrRlYYi7w&s,Generative Adversarial Net 2014,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,Research Scientist
Jeff Dean,339090,NMS69lQAAAAJ,https://research.google/people/jeff/?&type=google,JeffDean,https://www.linkedin.com/in/jeff-dean-8b212555,https://pbs.twimg.com/profile_images/935325968280907776/AcBo6zJc_400x400.jpg,Tensorflow 2016,,Google; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,Chief Scientist
Michael I. Jordan,321047,yxUduqMAAAAJ,https://people.eecs.berkeley.edu/~jordan/,,https://www.linkedin.com/in/michael-jordan-767032125,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKIsfd5A6zTB-CqbA5mGtdPwdPKV5ekATBJg&s,Latent dirichlet allocation 2003,,UC Berkeley; https://images.fineartamerica.com/images/artworkimages/medium/2/berkeley-university-of-california-logo-kls80-kakanda-lee-setiawan-transparent.png,Professor 
