name,github,area,personal_page,twitter,linkedin,image,famous_work,link,Company,Job
Eugene Zhulenev,https://github.com/ezhulenev, machine learning compilers and runtimes,https://ezhulenev.com/,https://x.com/ezhulenev,https://www.linkedin.com/in/eugenezhulenev,https://avatars.githubusercontent.com/u/1174378?v=4,Tensorflow,https://github.com/tensorflow/tensorflow,Google,Software Engineer
Shaw Walters,https://github.com/elizaOS/eliza,AI Agent,,https://x.com/shawmakesmagic,https://www.linkedin.com/in/shaw-walters-36603a289/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXTvgXlOjt6UKF4G8iKmIn-MvjaJI8XOswVA&s,ElizaOS,https://github.com/elizaOS/eliza,Eliza Labs,Founder
Patrick von Platen,https://github.com/patrickvonplaten,Diffusion Model,,https://x.com/pvonplaten,https://www.linkedin.com/in/patrick-von-platen-343401123?originalSubdomain=fr,https://avatars.githubusercontent.com/u/23423619?v=4,Diffusers (Huggingface),https://github.com/huggingface/diffusers,Mistral AI,Research Engineer
Thomas Wolf,https://github.com/thomwolf,"LLM, Robotics",https://thomwolf.io/,https://x.com/Thom_Wolf,https://www.linkedin.com/in/thom-wolf/,https://avatars.githubusercontent.com/u/7353373?v=4,Transformers (Huggingface),https://github.com/huggingface/transformers,Huggingface,CSO (Chief Science Officier)
Adam Paszke,https://github.com/apaszke,Deep Learning Framework,https://apaszke.github.io/,https://x.com/apaszke,,https://avatars.githubusercontent.com/u/4583066?v=4,PyTorch,https://github.com/pytorch/pytorch,Google,Research Scientist
Guillaume Lample,https://github.com/glample,"LLM, unsupervised learning",,https://x.com/guillaumelample?lang=en,https://www.linkedin.com/in/guillaume-lample-7821095b?originalSubdomain=fr,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/gbvduy057vnacczkbyqi",Llama,https://github.com/meta-llama/llama,Mistral AI,Cofounder & Chief Scientist
Guido van Rossum,https://github.com/gvanrossum,Programming Language,https://gvanrossum.github.io/,https://x.com/gvanrossum?lang=gu,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Guido_van_Rossum_in_PyConUS24_%28cropped%29.jpg/330px-Guido_van_Rossum_in_PyConUS24_%28cropped%29.jpg,Python,https://github.com/python,Retired,"Python's BDFL-emeritus, Distinguished Engineer at Microsoft, Computer History Fellow"
Anders Hejlsberg,https://github.com/ahejlsberg,Programming Language,,https://x.com/ahejlsberg?lang=en,https://www.linkedin.com/in/ahejlsberg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdxKgIbeB7ocMCy0VpAcxitCwZXQFyH-VoMg&s,TypeScript,https://github.com/microsoft/TypeScript,Microsoft,Technical Fellow
Bjarne Stroustrup,https://github.com/BjarneStroustrup,Programming Language,https://www.stroustrup.com/,https://x.com/stroustrup,https://www.linkedin.com/in/bjarnestroustrup,https://www.stroustrup.com/Bjarne2018.jpg,C++,,Columbia University,Professor
François Chollet,https://github.com/fchollet,Deep Learning,,https://x.com/fchollet,https://www.linkedin.com/in/fchollet,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKDDbFALAhWd8-TWcLJ600c91gWnutoigpSg&s,Keras,https://github.com/keras-team/keras,ndea,Co-founder
