英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Geoffrey Hinton,833235,JicYPdAAAAAJ,https://www.cs.toronto.edu/~hinton/,geoffreyhinton,
Yoshua Bengio,821134,kukA0LcAAAAJ,https://yoshuabengio.org/,Yoshua_Bengio,https://ca.linkedin.com/in/yoshuabengio
Kaiming He,594195,DhtAFkwAAAAJ,https://people.csail.mit.edu/kaiming/,,https://www.linkedin.com/in/kaiming-he-90664838
Ilya Sutskever,531186,x04W_mMAAAAJ,https://www.cs.utoronto.ca/~ilya/,ilyasut,https://www.linkedin.com/in/ilya-sutskever
Jian Sun,530875,ALVSZAYAAAAJ,https://www.jiansun.org/,,https://cn.linkedin.com/in/jian-sun-264252111
Robert Tibshirani,501486,ZpG_cJwAAAAJ,https://tibshirani.su.domains/index.html,robtibshirani,
Ross Girshick,486100,W8VIEZgAAAAJ,https://www.rossgirshick.info/,inkynumbers,https://www.linkedin.com/in/ross-girshick-81326084
Andrew Zisserman,425045,UZ5wscMAAAAJ,https://www.robots.ox.ac.uk/~az/,,https://www.linkedin.com/in/andrew-brown-6b4193115
Shaoqing Ren,373184,AUhj438AAAAJ,https://shaoqingren.com/,RenShaoqing,https://cn.linkedin.com/in/shaoqing-ren-61853260
Trevor Hastie,368541,tQVe-fAAAAAJ,https://hastie.su.domains/,hastietrevor,https://www.linkedin.com/in/trevor-hastie-a6a4735
Yann LeCun,365620,WLN3QrAAAAAJ,http://yann.lecun.com/,ylecun,https://www.linkedin.com/in/yann-lecun
Xiangyu Zhang,319721,yuB-cfoAAAAJ,,,https://www.linkedin.com/in/xiangyu-zhang-24a148160/
Jose Enrique Garcia Navarro [ORCID: 0000-0002-0279-0523],319614,too0eQkAAAAJ,,,
Vladimir Vapnik,315966,vtegaJgAAAAJ,,,https://www.linkedin.com/in/vladimir-vapnik-5956a624
Ian Goodfellow,308621,iYN86KEAAAAJ,https://www.iangoodfellow.com/,goodfellow_ian,https://www.linkedin.com/in/ian-goodfellow-b7187213
Jeff Dean,305602,NMS69lQAAAAJ,https://research.google/people/jeff/?&type=google,JeffDean,https://www.linkedin.com/in/jeff-dean-8b212555
Stefano Giagu,301923,GjtUFQsAAAAJ,http://www.giagu.it/,StefanoG,
Michael I. Jordan,299416,yxUduqMAAAAJ,https://people.eecs.berkeley.edu/~jordan/,,https://www.linkedin.com/in/michael-jordan-767032125
Jonathan Hays,298713,1DS8DjgAAAAJ,,,
Tommaso Dorigo,296673,p5i5SrgAAAAJ,https://userswww.pd.infn.it/~dorigo/,Dorigo,https://it.linkedin.com/in/tommaso-dorigo-876b554
Jean-Roch Vlimant,296065,atsBh1QAAAAJ,,vlimant,https://ch.linkedin.com/in/jean-roch-vlimant/en
Julien Donini,292938,eN5cHekAAAAJ,,,
